team_id,team_name,rank,points,form,goalsDiff,played,wins,draws,losses
40,Liverpool,1,84,DLDLW,45,38,25,9,4
42,Arsenal,2,74,WWDLD,35,38,20,14,4
50,Manchester City,3,71,WWDWW,28,38,21,8,9
49,Chelsea,4,69,WWLWW,21,38,20,9,9
34,Newcastle,5,66,LLWDW,21,38,20,6,12
66,Aston Villa,6,66,LWWWL,7,38,19,9,10
65,Nottingham Forest,7,65,LWDDL,12,38,19,8,11
51,Brighton,8,61,WWWDW,7,38,16,13,9
35,Bournemouth,9,56,WLLWD,12,38,15,11,12
55,Brentford,10,56,DLWWW,9,38,16,8,14
36,Fulham,11,54,LWLLW,0,38,15,9,14
52,Crystal Palace,12,53,DWWDD,0,38,13,14,11
45,Everton,13,48,WWWDL,-2,38,11,15,12
48,West Ham,14,43,WLWDL,-16,38,11,10,17
33,Manchester United,15,42,WLLLD,-10,38,11,9,18
39,Wolves,16,42,DLLLW,-15,38,12,6,20
47,Tottenham,17,38,LLLDL,-1,38,11,5,22
46,Leicester,18,25,LWDWL,-47,38,6,7,25
57,Ipswich,19,22,LLLDL,-46,38,4,10,24
41,Southampton,20,12,LLDLL,-60,38,2,6,30
