team_id,played_total,wins_total,draws_total,losses_total,goals_for_avg,goals_against_avg,clean_sheet,failed_to_score,shots_for,shots_on_for,shots_against,shots_on_against,corners_for,corners_against,yc_total,rc_total,possession_avg,shots_for_pg,shots_on_for_pg,shots_against_pg,shots_on_against_pg,corners_for_pg,corners_against_pg,yc_pg,rc_pg
40,7,5,0,,1.9,1.3,2,"{'home': 0, 'away': 0, 'total': 0}",,,,,,,"{'0-15': {'total': 1, 'percentage': '6.67%'}, '16-30': {'total': 4, 'percentage': '26.67%'}, '31-45': {'total': 2, 'percentage': '13.33%'}, '46-60': {'total': None, 'percentage': None}, '61-75': {'total': 3, 'percentage': '20.00%'}, '76-90': {'total': 4, 'percentage': '26.67%'}, '91-105': {'total': 1, 'percentage': '6.67%'}, '106-120': {'total': None, 'percentage': None}}","{'0-15': {'total': None, 'percentage': None}, '16-30': {'total': None, 'percentage': None}, '31-45': {'total': None, 'percentage': None}, '46-60': {'total': None, 'percentage': None}, '61-75': {'total': None, 'percentage': None}, '76-90': {'total': None, 'percentage': None}, '91-105': {'total': None, 'percentage': None}, '106-120': {'total': None, 'percentage': None}}",,,,,,,,,
66,7,2,3,,0.9,1.0,2,4,,,,,,,"{'0-15': {'total': 1, 'percentage': '7.69%'}, '16-30': {'total': 1, 'percentage': '7.69%'}, '31-45': {'total': 1, 'percentage': '7.69%'}, '46-60': {'total': 5, 'percentage': '38.46%'}, '61-75': {'total': 2, 'percentage': '15.38%'}, '76-90': {'total': 1, 'percentage': '7.69%'}, '91-105': {'total': 2, 'percentage': '15.38%'}, '106-120': {'total': None, 'percentage': None}}","{'0-15': {'total': None, 'percentage': None}, '16-30': {'total': None, 'percentage': None}, '31-45': {'total': None, 'percentage': None}, '46-60': {'total': None, 'percentage': None}, '61-75': {'total': 1, 'percentage': '100.00%'}, '76-90': {'total': None, 'percentage': None}, '91-105': {'total': None, 'percentage': None}, '106-120': {'total': None, 'percentage': None}}",,,,,,,,,
47,7,4,2,,1.9,0.7,3,1,,,,,,,"{'0-15': {'total': 1, 'percentage': '6.67%'}, '16-30': {'total': 1, 'percentage': '6.67%'}, '31-45': {'total': 3, 'percentage': '20.00%'}, '46-60': {'total': 2, 'percentage': '13.33%'}, '61-75': {'total': 5, 'percentage': '33.33%'}, '76-90': {'total': 2, 'percentage': '13.33%'}, '91-105': {'total': 1, 'percentage': '6.67%'}, '106-120': {'total': None, 'percentage': None}}","{'0-15': {'total': None, 'percentage': None}, '16-30': {'total': None, 'percentage': None}, '31-45': {'total': None, 'percentage': None}, '46-60': {'total': None, 'percentage': None}, '61-75': {'total': None, 'percentage': None}, '76-90': {'total': None, 'percentage': None}, '91-105': {'total': None, 'percentage': None}, '106-120': {'total': None, 'percentage': None}}",,,,,,,,,
51,7,2,3,,1.4,1.4,"{'home': 0, 'away': 0, 'total': 0}",1,,,,,,,"{'0-15': {'total': 1, 'percentage': '4.55%'}, '16-30': {'total': 4, 'percentage': '18.18%'}, '31-45': {'total': 3, 'percentage': '13.64%'}, '46-60': {'total': 3, 'percentage': '13.64%'}, '61-75': {'total': 5, 'percentage': '22.73%'}, '76-90': {'total': 4, 'percentage': '18.18%'}, '91-105': {'total': 2, 'percentage': '9.09%'}, '106-120': {'total': None, 'percentage': None}}","{'0-15': {'total': None, 'percentage': None}, '16-30': {'total': None, 'percentage': None}, '31-45': {'total': None, 'percentage': None}, '46-60': {'total': None, 'percentage': None}, '61-75': {'total': None, 'percentage': None}, '76-90': {'total': None, 'percentage': None}, '91-105': {'total': None, 'percentage': None}, '106-120': {'total': None, 'percentage': None}}",,,,,,,,,
746,7,3,2,,1.0,0.9,3,3,,,,,,,"{'0-15': {'total': 1, 'percentage': '7.69%'}, '16-30': {'total': 2, 'percentage': '15.38%'}, '31-45': {'total': 2, 'percentage': '15.38%'}, '46-60': {'total': 3, 'percentage': '23.08%'}, '61-75': {'total': 1, 'percentage': '7.69%'}, '76-90': {'total': 3, 'percentage': '23.08%'}, '91-105': {'total': 1, 'percentage': '7.69%'}, '106-120': {'total': None, 'percentage': None}}","{'0-15': {'total': None, 'percentage': None}, '16-30': {'total': None, 'percentage': None}, '31-45': {'total': 1, 'percentage': '100.00%'}, '46-60': {'total': None, 'percentage': None}, '61-75': {'total': None, 'percentage': None}, '76-90': {'total': None, 'percentage': None}, '91-105': {'total': None, 'percentage': None}, '106-120': {'total': None, 'percentage': None}}",,,,,,,,,
39,7,0,2,,0.7,2.0,"{'home': 0, 'away': 0, 'total': 0}",3,,,,,,,"{'0-15': {'total': 3, 'percentage': '21.43%'}, '16-30': {'total': None, 'percentage': None}, '31-45': {'total': 3, 'percentage': '21.43%'}, '46-60': {'total': 1, 'percentage': '7.14%'}, '61-75': {'total': 4, 'percentage': '28.57%'}, '76-90': {'total': 2, 'percentage': '14.29%'}, '91-105': {'total': 1, 'percentage': '7.14%'}, '106-120': {'total': None, 'percentage': None}}","{'0-15': {'total': None, 'percentage': None}, '16-30': {'total': None, 'percentage': None}, '31-45': {'total': None, 'percentage': None}, '46-60': {'total': 1, 'percentage': '100.00%'}, '61-75': {'total': None, 'percentage': None}, '76-90': {'total': None, 'percentage': None}, '91-105': {'total': None, 'percentage': None}, '106-120': {'total': None, 'percentage': None}}",,,,,,,,,
49,7,3,2,,1.9,1.3,2,1,,,,,,,"{'0-15': {'total': None, 'percentage': None}, '16-30': {'total': 2, 'percentage': '13.33%'}, '31-45': {'total': 3, 'percentage': '20.00%'}, '46-60': {'total': 2, 'percentage': '13.33%'}, '61-75': {'total': 3, 'percentage': '20.00%'}, '76-90': {'total': 2, 'percentage': '13.33%'}, '91-105': {'total': 3, 'percentage': '20.00%'}, '106-120': {'total': None, 'percentage': None}}","{'0-15': {'total': 1, 'percentage': '50.00%'}, '16-30': {'total': None, 'percentage': None}, '31-45': {'total': None, 'percentage': None}, '46-60': {'total': 1, 'percentage': '50.00%'}, '61-75': {'total': None, 'percentage': None}, '76-90': {'total': None, 'percentage': None}, '91-105': {'total': None, 'percentage': None}, '106-120': {'total': None, 'percentage': None}}",,,,,,,,,
65,7,1,2,,0.7,1.7,"{'home': 0, 'away': 0, 'total': 0}",4,,,,,,,"{'0-15': {'total': None, 'percentage': None}, '16-30': {'total': None, 'percentage': None}, '31-45': {'total': 4, 'percentage': '28.57%'}, '46-60': {'total': 3, 'percentage': '21.43%'}, '61-75': {'total': 2, 'percentage': '14.29%'}, '76-90': {'total': 3, 'percentage': '21.43%'}, '91-105': {'total': 2, 'percentage': '14.29%'}, '106-120': {'total': None, 'percentage': None}}","{'0-15': {'total': None, 'percentage': None}, '16-30': {'total': None, 'percentage': None}, '31-45': {'total': None, 'percentage': None}, '46-60': {'total': None, 'percentage': None}, '61-75': {'total': None, 'percentage': None}, '76-90': {'total': None, 'percentage': None}, '91-105': {'total': None, 'percentage': None}, '106-120': {'total': None, 'percentage': None}}",,,,,,,,,
33,7,3,1,,1.3,1.6,1,2,,,,,,,"{'0-15': {'total': None, 'percentage': None}, '16-30': {'total': 1, 'percentage': '12.50%'}, '31-45': {'total': 1, 'percentage': '12.50%'}, '46-60': {'total': 2, 'percentage': '25.00%'}, '61-75': {'total': None, 'percentage': None}, '76-90': {'total': 4, 'percentage': '50.00%'}, '91-105': {'total': None, 'percentage': None}, '106-120': {'total': None, 'percentage': None}}","{'0-15': {'total': None, 'percentage': None}, '16-30': {'total': None, 'percentage': None}, '31-45': {'total': None, 'percentage': None}, '46-60': {'total': 1, 'percentage': '100.00%'}, '61-75': {'total': None, 'percentage': None}, '76-90': {'total': None, 'percentage': None}, '91-105': {'total': None, 'percentage': None}, '106-120': {'total': None, 'percentage': None}}",,,,,,,,,
63,7,2,2,,1.0,1.6,2,3,,,,,,,"{'0-15': {'total': 2, 'percentage': '20.00%'}, '16-30': {'total': None, 'percentage': None}, '31-45': {'total': 2, 'percentage': '20.00%'}, '46-60': {'total': 1, 'percentage': '10.00%'}, '61-75': {'total': 3, 'percentage': '30.00%'}, '76-90': {'total': 1, 'percentage': '10.00%'}, '91-105': {'total': 1, 'percentage': '10.00%'}, '106-120': {'total': None, 'percentage': None}}","{'0-15': {'total': None, 'percentage': None}, '16-30': {'total': None, 'percentage': None}, '31-45': {'total': None, 'percentage': None}, '46-60': {'total': None, 'percentage': None}, '61-75': {'total': None, 'percentage': None}, '76-90': {'total': None, 'percentage': None}, '91-105': {'total': None, 'percentage': None}, '106-120': {'total': None, 'percentage': None}}",,,,,,,,,
