fixture_id,league_id,league_name,season,date,status_short,status_long,home_id,home,away_id,away,goals_home,goals_away,result,sport_key,home_norm,away_norm
1388308,78,Bundesliga,2025,2025-08-22 18:30:00+00:00,FT,Match Finished,157,Bayern München,173,RB Leipzig,6.0,0.0,H,soccer_germany_bundesliga,bayern münchen,rb leipzig
1388312,78,Bundesliga,2025,2025-08-23 13:30:00+00:00,FT,Match Finished,160,SC Freiburg,170,FC Augsburg,1.0,3.0,A,soccer_germany_bundesliga,freiburg,augsburg
1388309,78,Bundesliga,2025,2025-08-23 13:30:00+00:00,FT,Match Finished,168,Bayer Leverkusen,167,1899 Hoffenheim,1.0,2.0,A,soccer_germany_bundesliga,bayer leverkusen,1899 hoffenheim
1388311,78,Bundesliga,2025,2025-08-23 13:30:00+00:00,FT,Match Finished,169,Eintracht Frankfurt,162,Werder Bremen,4.0,1.0,H,soccer_germany_bundesliga,eintracht frankfurt,werder bremen
1388313,78,Bundesliga,2025,2025-08-23 13:30:00+00:00,FT,Match Finished,180,1. FC Heidenheim,161,VfL Wolfsburg,1.0,3.0,A,soccer_germany_bundesliga,1 heidenheim,vfl wolfsburg
1388316,78,Bundesliga,2025,2025-08-23 13:30:00+00:00,FT,Match Finished,182,Union Berlin,172,VfB Stuttgart,2.0,1.0,H,soccer_germany_bundesliga,union berlin,vfb stuttgart
1388315,78,Bundesliga,2025,2025-08-23 16:30:00+00:00,FT,Match Finished,186,FC St. Pauli,165,Borussia Dortmund,3.0,3.0,D,soccer_germany_bundesliga,st pauli,borussia dortmund
1388314,78,Bundesliga,2025,2025-08-24 13:30:00+00:00,FT,Match Finished,164,FSV Mainz 05,192,1.FC Köln,0.0,1.0,A,soccer_germany_bundesliga,fsv mainz 05,1 köln
1388310,78,Bundesliga,2025,2025-08-24 15:30:00+00:00,FT,Match Finished,163,Borussia Mönchengladbach,175,Hamburger SV,0.0,0.0,D,soccer_germany_bundesliga,borussia mönchengladbach,hamburger sv
1388320,78,Bundesliga,2025,2025-08-29 18:30:00+00:00,FT,Match Finished,175,Hamburger SV,186,FC St. Pauli,0.0,2.0,A,soccer_germany_bundesliga,hamburger sv,st pauli
1388324,78,Bundesliga,2025,2025-08-30 13:30:00+00:00,FT,Match Finished,162,Werder Bremen,168,Bayer Leverkusen,3.0,3.0,D,soccer_germany_bundesliga,werder bremen,bayer leverkusen
1388321,78,Bundesliga,2025,2025-08-30 13:30:00+00:00,FT,Match Finished,167,1899 Hoffenheim,169,Eintracht Frankfurt,1.0,3.0,A,soccer_germany_bundesliga,1899 hoffenheim,eintracht frankfurt
