team_id,played_total,wins_total,draws_total,losses_total,goals_for_avg,goals_against_avg,clean_sheet,failed_to_score,shots_for,shots_on_for,shots_against,shots_on_against,corners_for,corners_against,yc_total,rc_total,possession_avg,shots_for_pg,shots_on_for_pg,shots_against_pg,shots_on_against_pg,corners_for_pg,corners_against_pg,yc_pg,rc_pg
157,6,6,0,,4.2,0.5,4,"{'home': 0, 'away': 0, 'total': 0}",,,,,,,"{'0-15': {'total': 2, 'percentage': '12.50%'}, '16-30': {'total': 3, 'percentage': '18.75%'}, '31-45': {'total': None, 'percentage': None}, '46-60': {'total': 3, 'percentage': '18.75%'}, '61-75': {'total': 4, 'percentage': '25.00%'}, '76-90': {'total': 1, 'percentage': '6.25%'}, '91-105': {'total': 3, 'percentage': '18.75%'}, '106-120': {'total': None, 'percentage': None}}","{'0-15': {'total': None, 'percentage': None}, '16-30': {'total': None, 'percentage': None}, '31-45': {'total': None, 'percentage': None}, '46-60': {'total': None, 'percentage': None}, '61-75': {'total': None, 'percentage': None}, '76-90': {'total': None, 'percentage': None}, '91-105': {'total': None, 'percentage': None}, '106-120': {'total': None, 'percentage': None}}",,,,,,,,,
160,6,2,2,,1.5,1.5,2,1,,,,,,,"{'0-15': {'total': None, 'percentage': None}, '16-30': {'total': 1, 'percentage': '10.00%'}, '31-45': {'total': 3, 'percentage': '30.00%'}, '46-60': {'total': 3, 'percentage': '30.00%'}, '61-75': {'total': None, 'percentage': None}, '76-90': {'total': 2, 'percentage': '20.00%'}, '91-105': {'total': 1, 'percentage': '10.00%'}, '106-120': {'total': None, 'percentage': None}}","{'0-15': {'total': None, 'percentage': None}, '16-30': {'total': None, 'percentage': None}, '31-45': {'total': None, 'percentage': None}, '46-60': {'total': None, 'percentage': None}, '61-75': {'total': None, 'percentage': None}, '76-90': {'total': None, 'percentage': None}, '91-105': {'total': 1, 'percentage': '100.00%'}, '106-120': {'total': None, 'percentage': None}}",,,,,,,,,
168,6,3,2,,2.0,1.3,1,"{'home': 0, 'away': 0, 'total': 0}",,,,,,,"{'0-15': {'total': None, 'percentage': None}, '16-30': {'total': 2, 'percentage': '10.53%'}, '31-45': {'total': 2, 'percentage': '10.53%'}, '46-60': {'total': 5, 'percentage': '26.32%'}, '61-75': {'total': 1, 'percentage': '5.26%'}, '76-90': {'total': 2, 'percentage': '10.53%'}, '91-105': {'total': 7, 'percentage': '36.84%'}, '106-120': {'total': None, 'percentage': None}}","{'0-15': {'total': None, 'percentage': None}, '16-30': {'total': None, 'percentage': None}, '31-45': {'total': None, 'percentage': None}, '46-60': {'total': 1, 'percentage': '50.00%'}, '61-75': {'total': None, 'percentage': None}, '76-90': {'total': None, 'percentage': None}, '91-105': {'total': 1, 'percentage': '50.00%'}, '106-120': {'total': None, 'percentage': None}}",,,,,,,,,
169,6,3,0,,2.8,2.7,"{'home': 0, 'away': 0, 'total': 0}",1,,,,,,,"{'0-15': {'total': 1, 'percentage': '7.69%'}, '16-30': {'total': None, 'percentage': None}, '31-45': {'total': 1, 'percentage': '7.69%'}, '46-60': {'total': None, 'percentage': None}, '61-75': {'total': 1, 'percentage': '7.69%'}, '76-90': {'total': 5, 'percentage': '38.46%'}, '91-105': {'total': 5, 'percentage': '38.46%'}, '106-120': {'total': None, 'percentage': None}}","{'0-15': {'total': None, 'percentage': None}, '16-30': {'total': None, 'percentage': None}, '31-45': {'total': None, 'percentage': None}, '46-60': {'total': None, 'percentage': None}, '61-75': {'total': None, 'percentage': None}, '76-90': {'total': None, 'percentage': None}, '91-105': {'total': None, 'percentage': None}, '106-120': {'total': None, 'percentage': None}}",,,,,,,,,
180,6,1,0,,0.7,1.8,"{'home': 0, 'away': 0, 'total': 0}",3,,,,,,,"{'0-15': {'total': 1, 'percentage': '8.33%'}, '16-30': {'total': 1, 'percentage': '8.33%'}, '31-45': {'total': 1, 'percentage': '8.33%'}, '46-60': {'total': 4, 'percentage': '33.33%'}, '61-75': {'total': 3, 'percentage': '25.00%'}, '76-90': {'total': 1, 'percentage': '8.33%'}, '91-105': {'total': 1, 'percentage': '8.33%'}, '106-120': {'total': None, 'percentage': None}}","{'0-15': {'total': None, 'percentage': None}, '16-30': {'total': 1, 'percentage': '100.00%'}, '31-45': {'total': None, 'percentage': None}, '46-60': {'total': None, 'percentage': None}, '61-75': {'total': None, 'percentage': None}, '76-90': {'total': None, 'percentage': None}, '91-105': {'total': None, 'percentage': None}, '106-120': {'total': None, 'percentage': None}}",,,,,,,,,
182,6,2,1,,1.3,2.2,1,3,,,,,,,"{'0-15': {'total': None, 'percentage': None}, '16-30': {'total': 1, 'percentage': '9.09%'}, '31-45': {'total': None, 'percentage': None}, '46-60': {'total': 2, 'percentage': '18.18%'}, '61-75': {'total': 2, 'percentage': '18.18%'}, '76-90': {'total': 4, 'percentage': '36.36%'}, '91-105': {'total': 2, 'percentage': '18.18%'}, '106-120': {'total': None, 'percentage': None}}","{'0-15': {'total': None, 'percentage': None}, '16-30': {'total': None, 'percentage': None}, '31-45': {'total': None, 'percentage': None}, '46-60': {'total': None, 'percentage': None}, '61-75': {'total': None, 'percentage': None}, '76-90': {'total': 1, 'percentage': '100.00%'}, '91-105': {'total': None, 'percentage': None}, '106-120': {'total': None, 'percentage': None}}",,,,,,,,,
186,6,2,1,,1.3,1.5,1,2,,,,,,,"{'0-15': {'total': 1, 'percentage': '8.33%'}, '16-30': {'total': 1, 'percentage': '8.33%'}, '31-45': {'total': 4, 'percentage': '33.33%'}, '46-60': {'total': 2, 'percentage': '16.67%'}, '61-75': {'total': 1, 'percentage': '8.33%'}, '76-90': {'total': 1, 'percentage': '8.33%'}, '91-105': {'total': 2, 'percentage': '16.67%'}, '106-120': {'total': None, 'percentage': None}}","{'0-15': {'total': None, 'percentage': None}, '16-30': {'total': None, 'percentage': None}, '31-45': {'total': None, 'percentage': None}, '46-60': {'total': None, 'percentage': None}, '61-75': {'total': None, 'percentage': None}, '76-90': {'total': None, 'percentage': None}, '91-105': {'total': None, 'percentage': None}, '106-120': {'total': None, 'percentage': None}}",,,,,,,,,
164,6,1,1,,0.8,1.7,"{'home': 0, 'away': 0, 'total': 0}",4,,,,,,,"{'0-15': {'total': 1, 'percentage': '7.69%'}, '16-30': {'total': 1, 'percentage': '7.69%'}, '31-45': {'total': 3, 'percentage': '23.08%'}, '46-60': {'total': 4, 'percentage': '30.77%'}, '61-75': {'total': 1, 'percentage': '7.69%'}, '76-90': {'total': 2, 'percentage': '15.38%'}, '91-105': {'total': 1, 'percentage': '7.69%'}, '106-120': {'total': None, 'percentage': None}}","{'0-15': {'total': None, 'percentage': None}, '16-30': {'total': None, 'percentage': None}, '31-45': {'total': None, 'percentage': None}, '46-60': {'total': 2, 'percentage': '66.67%'}, '61-75': {'total': 1, 'percentage': '33.33%'}, '76-90': {'total': None, 'percentage': None}, '91-105': {'total': None, 'percentage': None}, '106-120': {'total': None, 'percentage': None}}",,,,,,,,,
163,6,0,3,,0.8,2.0,2,4,,,,,,,"{'0-15': {'total': 1, 'percentage': '7.69%'}, '16-30': {'total': None, 'percentage': None}, '31-45': {'total': 2, 'percentage': '15.38%'}, '46-60': {'total': 2, 'percentage': '15.38%'}, '61-75': {'total': 3, 'percentage': '23.08%'}, '76-90': {'total': 3, 'percentage': '23.08%'}, '91-105': {'total': 2, 'percentage': '15.38%'}, '106-120': {'total': None, 'percentage': None}}","{'0-15': {'total': None, 'percentage': None}, '16-30': {'total': None, 'percentage': None}, '31-45': {'total': None, 'percentage': None}, '46-60': {'total': None, 'percentage': None}, '61-75': {'total': None, 'percentage': None}, '76-90': {'total': None, 'percentage': None}, '91-105': {'total': None, 'percentage': None}, '106-120': {'total': None, 'percentage': None}}",,,,,,,,,
175,6,2,2,,1.0,1.3,3,4,,,,,,,"{'0-15': {'total': 1, 'percentage': '6.67%'}, '16-30': {'total': 3, 'percentage': '20.00%'}, '31-45': {'total': 1, 'percentage': '6.67%'}, '46-60': {'total': 2, 'percentage': '13.33%'}, '61-75': {'total': 5, 'percentage': '33.33%'}, '76-90': {'total': 2, 'percentage': '13.33%'}, '91-105': {'total': 1, 'percentage': '6.67%'}, '106-120': {'total': None, 'percentage': None}}","{'0-15': {'total': None, 'percentage': None}, '16-30': {'total': None, 'percentage': None}, '31-45': {'total': None, 'percentage': None}, '46-60': {'total': None, 'percentage': None}, '61-75': {'total': None, 'percentage': None}, '76-90': {'total': 1, 'percentage': '50.00%'}, '91-105': {'total': 1, 'percentage': '50.00%'}, '106-120': {'total': None, 'percentage': None}}",,,,,,,,,
