team_id,team_name,rank,points,form,goalsDiff,played,wins,draws,losses
529,Barcelona,1,88,WLWWW,63,38,28,4,6
541,Real Madrid,2,84,WWWLW,40,38,26,6,6
530,Atletico Madrid,3,76,WWLWD,38,38,22,10,6
531,Athletic Club,4,70,LWWWD,25,38,19,13,6
533,Villarreal,5,70,WWWWW,20,38,20,10,8
543,Real Betis,6,60,DLDDW,7,38,16,12,10
538,Celta Vigo,7,55,WLWWL,2,38,16,7,15
728,Rayo Vallecano,8,52,DWDWW,-4,38,13,13,12
727,Osasuna,9,52,DWWDL,-4,38,12,16,10
798,Mallorca,10,48,DLLWL,-9,38,13,9,16
548,Real Sociedad,11,46,LWLLD,-11,38,13,7,18
532,Valencia,12,46,DLLWW,-10,38,11,13,14
546,Getafe,13,42,LWLLL,-5,38,11,9,18
540,Espanyol,14,42,WLLLL,-11,38,11,9,18
542,Alaves,15,42,DWWLD,-10,38,10,12,16
547,Girona,16,41,LLWLW,-16,38,11,8,19
536,Sevilla,17,41,LLWLD,-13,38,10,11,17
537,Leganes,18,40,WWLWD,-17,38,9,13,16
534,Las Palmas,19,32,LLLLL,-21,38,8,8,22
720,Valladolid,20,16,LLLLL,-64,38,4,4,30
