team_id,played_total,wins_total,draws_total,losses_total,goals_for_avg,goals_against_avg,clean_sheet,failed_to_score,shots_for,shots_on_for,shots_against,shots_on_against,corners_for,corners_against,yc_total,rc_total,possession_avg,shots_for_pg,shots_on_for_pg,shots_against_pg,shots_on_against_pg,corners_for_pg,corners_against_pg,yc_pg,rc_pg
547,8,1,3,,0.6,2.1,1,4,,,,,,,"{'0-15': {'total': 1, 'percentage': '6.25%'}, '16-30': {'total': 3, 'percentage': '18.75%'}, '31-45': {'total': None, 'percentage': None}, '46-60': {'total': 4, 'percentage': '25.00%'}, '61-75': {'total': 2, 'percentage': '12.50%'}, '76-90': {'total': 4, 'percentage': '25.00%'}, '91-105': {'total': 2, 'percentage': '12.50%'}, '106-120': {'total': None, 'percentage': None}}","{'0-15': {'total': None, 'percentage': None}, '16-30': {'total': 1, 'percentage': '20.00%'}, '31-45': {'total': 1, 'percentage': '20.00%'}, '46-60': {'total': 1, 'percentage': '20.00%'}, '61-75': {'total': None, 'percentage': None}, '76-90': {'total': 1, 'percentage': '20.00%'}, '91-105': {'total': None, 'percentage': None}, '106-120': {'total': None, 'percentage': None}, '': {'total': 1, 'percentage': '20.00%'}}",,,,,,,,,
533,8,5,1,,1.8,1.0,3,1,,,,,,,"{'0-15': {'total': 2, 'percentage': '11.11%'}, '16-30': {'total': 2, 'percentage': '11.11%'}, '31-45': {'total': 2, 'percentage': '11.11%'}, '46-60': {'total': 2, 'percentage': '11.11%'}, '61-75': {'total': 3, 'percentage': '16.67%'}, '76-90': {'total': 5, 'percentage': '27.78%'}, '91-105': {'total': 2, 'percentage': '11.11%'}, '106-120': {'total': None, 'percentage': None}}","{'0-15': {'total': None, 'percentage': None}, '16-30': {'total': None, 'percentage': None}, '31-45': {'total': None, 'percentage': None}, '46-60': {'total': None, 'percentage': None}, '61-75': {'total': None, 'percentage': None}, '76-90': {'total': 1, 'percentage': '100.00%'}, '91-105': {'total': None, 'percentage': None}, '106-120': {'total': None, 'percentage': None}}",,,,,,,,,
798,8,1,2,,0.9,1.6,1,2,,,,,,,"{'0-15': {'total': 2, 'percentage': '11.11%'}, '16-30': {'total': 3, 'percentage': '16.67%'}, '31-45': {'total': 3, 'percentage': '16.67%'}, '46-60': {'total': 5, 'percentage': '27.78%'}, '61-75': {'total': 1, 'percentage': '5.56%'}, '76-90': {'total': 1, 'percentage': '5.56%'}, '91-105': {'total': 3, 'percentage': '16.67%'}, '106-120': {'total': None, 'percentage': None}}","{'0-15': {'total': None, 'percentage': None}, '16-30': {'total': None, 'percentage': None}, '31-45': {'total': 2, 'percentage': '66.67%'}, '46-60': {'total': None, 'percentage': None}, '61-75': {'total': None, 'percentage': None}, '76-90': {'total': None, 'percentage': None}, '91-105': {'total': 1, 'percentage': '33.33%'}, '106-120': {'total': None, 'percentage': None}}",,,,,,,,,
532,8,2,2,,1.3,1.8,2,2,,,,,,,"{'0-15': {'total': None, 'percentage': None}, '16-30': {'total': 1, 'percentage': '8.33%'}, '31-45': {'total': 4, 'percentage': '33.33%'}, '46-60': {'total': 4, 'percentage': '33.33%'}, '61-75': {'total': 1, 'percentage': '8.33%'}, '76-90': {'total': 1, 'percentage': '8.33%'}, '91-105': {'total': 1, 'percentage': '8.33%'}, '106-120': {'total': None, 'percentage': None}}","{'0-15': {'total': None, 'percentage': None}, '16-30': {'total': 1, 'percentage': '100.00%'}, '31-45': {'total': None, 'percentage': None}, '46-60': {'total': None, 'percentage': None}, '61-75': {'total': None, 'percentage': None}, '76-90': {'total': None, 'percentage': None}, '91-105': {'total': None, 'percentage': None}, '106-120': {'total': None, 'percentage': None}}",,,,,,,,,
542,8,3,2,,1.1,1.0,1,2,,,,,,,"{'0-15': {'total': None, 'percentage': None}, '16-30': {'total': 4, 'percentage': '22.22%'}, '31-45': {'total': 4, 'percentage': '22.22%'}, '46-60': {'total': 1, 'percentage': '5.56%'}, '61-75': {'total': None, 'percentage': None}, '76-90': {'total': 6, 'percentage': '33.33%'}, '91-105': {'total': 3, 'percentage': '16.67%'}, '106-120': {'total': None, 'percentage': None}}","{'0-15': {'total': None, 'percentage': None}, '16-30': {'total': None, 'percentage': None}, '31-45': {'total': None, 'percentage': None}, '46-60': {'total': None, 'percentage': None}, '61-75': {'total': None, 'percentage': None}, '76-90': {'total': None, 'percentage': None}, '91-105': {'total': None, 'percentage': None}, '106-120': {'total': None, 'percentage': None}}",,,,,,,,,
538,8,0,6,,0.9,1.3,"{'home': 0, 'away': 0, 'total': 0}",1,,,,,,,"{'0-15': {'total': None, 'percentage': None}, '16-30': {'total': 1, 'percentage': '7.69%'}, '31-45': {'total': None, 'percentage': None}, '46-60': {'total': 3, 'percentage': '23.08%'}, '61-75': {'total': 5, 'percentage': '38.46%'}, '76-90': {'total': 3, 'percentage': '23.08%'}, '91-105': {'total': None, 'percentage': None}, '106-120': {'total': None, 'percentage': None}, '': {'total': 1, 'percentage': '7.69%'}}","{'0-15': {'total': None, 'percentage': None}, '16-30': {'total': None, 'percentage': None}, '31-45': {'total': None, 'percentage': None}, '46-60': {'total': None, 'percentage': None}, '61-75': {'total': None, 'percentage': None}, '76-90': {'total': None, 'percentage': None}, '91-105': {'total': None, 'percentage': None}, '106-120': {'total': None, 'percentage': None}}",,,,,,,,,
531,8,4,1,,1.1,1.1,1,3,,,,,,,"{'0-15': {'total': None, 'percentage': None}, '16-30': {'total': 2, 'percentage': '15.38%'}, '31-45': {'total': 1, 'percentage': '7.69%'}, '46-60': {'total': 3, 'percentage': '23.08%'}, '61-75': {'total': 1, 'percentage': '7.69%'}, '76-90': {'total': 2, 'percentage': '15.38%'}, '91-105': {'total': 4, 'percentage': '30.77%'}, '106-120': {'total': None, 'percentage': None}}","{'0-15': {'total': None, 'percentage': None}, '16-30': {'total': None, 'percentage': None}, '31-45': {'total': None, 'percentage': None}, '46-60': {'total': None, 'percentage': None}, '61-75': {'total': 1, 'percentage': '50.00%'}, '76-90': {'total': None, 'percentage': None}, '91-105': {'total': None, 'percentage': None}, '106-120': {'total': None, 'percentage': None}, '': {'total': 1, 'percentage': '50.00%'}}",,,,,,,,,
540,8,3,3,,1.4,1.4,2,2,,,,,,,"{'0-15': {'total': None, 'percentage': None}, '16-30': {'total': 2, 'percentage': '15.38%'}, '31-45': {'total': 5, 'percentage': '38.46%'}, '46-60': {'total': 1, 'percentage': '7.69%'}, '61-75': {'total': 1, 'percentage': '7.69%'}, '76-90': {'total': 2, 'percentage': '15.38%'}, '91-105': {'total': 2, 'percentage': '15.38%'}, '106-120': {'total': None, 'percentage': None}}","{'0-15': {'total': None, 'percentage': None}, '16-30': {'total': None, 'percentage': None}, '31-45': {'total': None, 'percentage': None}, '46-60': {'total': 1, 'percentage': '100.00%'}, '61-75': {'total': None, 'percentage': None}, '76-90': {'total': None, 'percentage': None}, '91-105': {'total': None, 'percentage': None}, '106-120': {'total': None, 'percentage': None}}",,,,,,,,,
797,8,3,4,,1.4,1.1,2,"{'home': 0, 'away': 0, 'total': 0}",,,,,,,"{'0-15': {'total': None, 'percentage': None}, '16-30': {'total': 1, 'percentage': '6.67%'}, '31-45': {'total': 6, 'percentage': '40.00%'}, '46-60': {'total': 1, 'percentage': '6.67%'}, '61-75': {'total': 3, 'percentage': '20.00%'}, '76-90': {'total': 3, 'percentage': '20.00%'}, '91-105': {'total': 1, 'percentage': '6.67%'}, '106-120': {'total': None, 'percentage': None}}","{'0-15': {'total': None, 'percentage': None}, '16-30': {'total': None, 'percentage': None}, '31-45': {'total': None, 'percentage': None}, '46-60': {'total': None, 'percentage': None}, '61-75': {'total': None, 'percentage': None}, '76-90': {'total': 1, 'percentage': '100.00%'}, '91-105': {'total': None, 'percentage': None}, '106-120': {'total': None, 'percentage': None}}",,,,,,,,,
541,8,7,0,,2.4,1.1,3,"{'home': 0, 'away': 0, 'total': 0}",,,,,,,"{'0-15': {'total': None, 'percentage': None}, '16-30': {'total': None, 'percentage': None}, '31-45': {'total': 2, 'percentage': '14.29%'}, '46-60': {'total': 4, 'percentage': '28.57%'}, '61-75': {'total': 4, 'percentage': '28.57%'}, '76-90': {'total': 3, 'percentage': '21.43%'}, '91-105': {'total': 1, 'percentage': '7.14%'}, '106-120': {'total': None, 'percentage': None}}","{'0-15': {'total': None, 'percentage': None}, '16-30': {'total': None, 'percentage': None}, '31-45': {'total': 1, 'percentage': '100.00%'}, '46-60': {'total': None, 'percentage': None}, '61-75': {'total': None, 'percentage': None}, '76-90': {'total': None, 'percentage': None}, '91-105': {'total': None, 'percentage': None}, '106-120': {'total': None, 'percentage': None}}",,,,,,,,,
