fixture_id,date,odds_source,fetched_at_utc,home,away,home_norm,away_norm,bookmaker_count,ah_line,ah_home,ah_away
1390900,2025-10-18 19:00:00+0000,apifootball,2025-10-18 18:35:02,Atletico Madrid,Osasuna,atletico madrid,osasuna,5,-0.5,1.9,3.39
1390903,2025-10-19 12:00:00+0000,apifootball,2025-10-18 18:35:03,Elche,Athletic Club,elche,athletic,5,-0.5,4.15,1.33
1379047,2025-10-19 13:00:00+0000,apifootball,2025-10-18 18:35:04,Tottenham,Aston Villa,tottenham,aston villa,5,-0.5,2.74,2.09
1388364,2025-10-19 13:30:00+0000,apifootball,2025-10-18 18:35:05,SC Freiburg,Eintracht Frankfurt,freiburg,eintracht frankfurt,5,-0.5,3.11,1.88
1390902,2025-10-19 14:15:00+0000,apifootball,2025-10-18 18:35:05,Celta Vigo,Real Sociedad,celta vigo,real sociedad,5,-0.5,2.88,2.02
1379043,2025-10-19 15:30:00+0000,apifootball,2025-10-18 18:35:06,Liverpool,Manchester United,liverpool,manchester united,5,-0.5,2.14,2.4
1388368,2025-10-19 15:30:00+0000,apifootball,2025-10-18 18:35:07,FC St. Pauli,1899 Hoffenheim,st pauli,1899 hoffenheim,5,-0.5,3.11,2.03
1390905,2025-10-19 16:30:00+0000,apifootball,2025-10-18 18:35:07,Levante,Rayo Vallecano,levante,rayo vallecano,5,-0.5,3.44,1.47
1390904,2025-10-19 19:00:00+0000,apifootball,2025-10-18 18:35:08,Getafe,Real Madrid,getafe,real madrid,5,-0.5,7.0,2.05
1379048,2025-10-20 19:00:00+0000,apifootball,2025-10-18 18:35:09,West Ham,Brentford,west ham,brentford,5,-0.5,3.07,1.81
1390899,2025-10-20 19:00:00+0000,apifootball,2025-10-18 18:35:09,Alaves,Valencia,alaves,valencia,5,-0.5,3.08,2.24
1388379,2025-10-24 18:30:00+0000,apifootball,2025-10-18 18:35:10,Werder Bremen,Union Berlin,werder bremen,union berlin,5,-0.5,2.6,1.84
1379055,2025-10-24 19:00:00+0000,apifootball,2025-10-18 18:35:11,Leeds,West Ham,leeds,west ham,5,-0.5,2.79,1.83
1390917,2025-10-24 19:00:00+0000,apifootball,2025-10-18 18:35:11,Real Sociedad,Sevilla,real sociedad,sevilla,5,-0.5,2.61,1.84
1390912,2025-10-25 12:00:00+0000,apifootball,2025-10-18 18:35:12,Girona,Oviedo,girona,oviedo,5,-0.5,2.42,2.0
1388371,2025-10-25 13:30:00+0000,apifootball,2025-10-18 18:35:13,FC Augsburg,RB Leipzig,augsburg,rb leipzig,5,-0.5,3.55,1.34
1388373,2025-10-25 13:30:00+0000,apifootball,2025-10-18 18:35:13,Borussia Mönchengladbach,Bayern München,borussia mönchengladbach,bayern münchen,5,-0.5,6.6,1.11
1388375,2025-10-25 13:30:00+0000,apifootball,2025-10-18 18:35:14,Eintracht Frankfurt,FC St. Pauli,eintracht frankfurt,st pauli,5,-0.5,2.27,2.08
1388376,2025-10-25 13:30:00+0000,apifootball,2025-10-18 18:35:15,Hamburger SV,VfL Wolfsburg,hamburger sv,vfl wolfsburg,5,-0.5,2.98,1.56
1388377,2025-10-25 13:30:00+0000,apifootball,2025-10-18 18:35:15,1899 Hoffenheim,1. FC Heidenheim,1899 hoffenheim,1 heidenheim,5,-0.5,2.08,2.38
1379053,2025-10-25 14:00:00+0000,apifootball,2025-10-18 18:35:16,Chelsea,Sunderland,chelsea,sunderland,5,-0.5,1.98,2.89
1379057,2025-10-25 14:00:00+0000,apifootball,2025-10-18 18:35:17,Newcastle,Fulham,newcastle,fulham,5,-0.5,2.15,2.33
1390911,2025-10-25 14:15:00+0000,apifootball,2025-10-18 18:35:17,Espanyol,Elche,espanyol,elche,5,-0.5,2.68,1.82
1379056,2025-10-25 16:30:00+0000,apifootball,2025-10-18 18:35:18,Manchester United,Brighton,manchester united,brighton,5,-0.5,2.63,1.86
1388374,2025-10-25 16:30:00+0000,apifootball,2025-10-18 18:35:19,Borussia Dortmund,1.FC Köln,borussia dortmund,1 köln,5,-0.5,2.06,2.5
1390909,2025-10-25 16:30:00+0000,apifootball,2025-10-18 18:35:19,Athletic Club,Getafe,athletic,getafe,5,-0.5,2.35,2.2
