fixture_id,odds_h,odds_d,odds_a,sport_key,date,home,away,home_norm,away_norm
1390906,4.6,8.0,4.0,soccer_spain_la_liga,2025-10-17 19:00:00+00:00,Oviedo,Espanyol,oviedo,espanyol
1390907,3.25,9.7,5.9,soccer_spain_la_liga,2025-10-18 12:00:00+00:00,Sevilla,Mallorca,sevilla,mallorca
1390901,1.95,12.0,14.32,soccer_spain_la_liga,2025-10-18 14:15:00+00:00,Barcelona,Girona,barcelona,girona
1390908,3.2,8.0,5.1,soccer_spain_la_liga,2025-10-18 16:30:00+00:00,Villarreal,Real Betis,villarreal,real betis
1390900,2.62,10.5,9.0,soccer_spain_la_liga,2025-10-18 19:00:00+00:00,Atletico Madrid,Osasuna,atletico madrid,osasuna
1390903,5.3,7.5,3.75,soccer_spain_la_liga,2025-10-19 12:00:00+00:00,Elche,Athletic Club,elche,athletic
1390902,3.6,7.5,5.0,soccer_spain_la_liga,2025-10-19 14:15:00+00:00,Celta Vigo,Real Sociedad,celta vigo,real sociedad
1390905,4.25,7.5,4.05,soccer_spain_la_liga,2025-10-19 16:30:00+00:00,Levante,Rayo Vallecano,levante,rayo vallecano
1390904,9.0,8.5,2.62,soccer_spain_la_liga,2025-10-19 19:00:00+00:00,Getafe,Real Madrid,getafe,real madrid
1390899,4.0,8.5,5.1,soccer_spain_la_liga,2025-10-20 19:00:00+00:00,Alaves,Valencia,alaves,valencia
1379045,5.0,8.5,3.25,soccer_epl,2025-10-18 11:30:00+00:00,Nottingham Forest,Chelsea,nottingham forest,chelsea
1379040,4.9,8.0,3.85,soccer_epl,2025-10-18 14:00:00+00:00,Burnley,Leeds,burnley,leeds
1379044,5.2,13.0,10.0,soccer_epl,2025-10-18 14:00:00+00:00,Manchester City,Everton,manchester city,everton
1379039,4.1,8.0,4.25,soccer_epl,2025-10-18 14:00:00+00:00,Brighton,Newcastle,brighton,newcastle
1379041,3.65,8.05,4.9,soccer_epl,2025-10-18 14:00:00+00:00,Crystal Palace,Bournemouth,crystal palace,bournemouth
1379046,3.95,9.0,4.85,soccer_epl,2025-10-18 14:00:00+00:00,Sunderland,Wolves,sunderland,wolves
1379042,6.9,9.0,3.6,soccer_epl,2025-10-18 16:30:00+00:00,Fulham,Arsenal,fulham,arsenal
1379047,3.5,8.0,4.7,soccer_epl,2025-10-19 13:00:00+00:00,Tottenham,Aston Villa,tottenham,aston villa
1379043,2.7,9.0,5.6,soccer_epl,2025-10-19 15:30:00+00:00,Liverpool,Manchester United,liverpool,manchester united
1379048,3.8,8.0,4.25,soccer_epl,2025-10-20 19:00:00+00:00,West Ham,Brentford,west ham,brentford
1379055,3.75,3.78,4.75,soccer_epl,2025-10-24 19:00:00+00:00,Leeds,West Ham,leeds,west ham
1379057,1.72,4.04,5.32,soccer_epl,2025-10-25 14:00:00+00:00,Newcastle,Fulham,newcastle,fulham
1379053,1.58,4.75,5.9,soccer_epl,2025-10-25 14:00:00+00:00,Chelsea,Sunderland,chelsea,sunderland
1379056,2.16,3.68,3.58,soccer_epl,2025-10-25 16:30:00+00:00,Manchester United,Brighton,manchester united,brighton
1379052,5.16,4.96,1.61,soccer_epl,2025-10-25 19:00:00+00:00,Brentford,Liverpool,brentford,liverpool
1388369,3.65,9.1,4.65,soccer_germany_bundesliga,2025-10-17 18:30:00+00:00,Union Berlin,Borussia Mönchengladbach,union berlin,borussia mönchengladbach
1388370,3.9,8.0,3.8,soccer_germany_bundesliga,2025-10-18 13:30:00+00:00,VfL Wolfsburg,VfB Stuttgart,vfl wolfsburg,vfb stuttgart
1388366,4.2,8.0,3.8,soccer_germany_bundesliga,2025-10-18 13:30:00+00:00,FSV Mainz 05,Bayer Leverkusen,fsv mainz 05,bayer leverkusen
