fixture_id,fetched_at_utc,odds_source,bookmaker_count,odds_h,odds_d,odds_a,src_book_h,src_book_d,src_book_a
1388369,2025-10-15 13:56:31,apifootball,3,2.25,3.55,3.2,Unibet,Unibet,Betano
1390906,2025-10-15 13:56:31,apifootball,3,3.0,3.15,2.52,Betano,Unibet,Betano
1379045,2025-10-15 13:56:31,apifootball,3,3.75,3.75,1.95,Betano,Betano,Unibet
1390907,2025-10-15 13:56:32,apifootball,3,1.93,3.35,4.4,Betano,Unibet,Unibet
1388363,2025-10-15 13:56:32,apifootball,3,2.0,3.85,3.65,Betano,Unibet,Unibet
1388365,2025-10-15 13:56:33,apifootball,3,2.85,3.7,2.4,Betano,Unibet,Betano
1388366,2025-10-15 13:56:33,apifootball,3,2.82,3.65,2.45,Betano,Unibet,Betano
1388367,2025-10-15 13:56:33,apifootball,3,1.45,5.0,6.1,Unibet,Unibet,Betano
1388370,2025-10-15 13:56:34,apifootball,3,2.67,3.7,2.55,Betano,Unibet,Betano
1379039,2025-10-15 13:56:34,apifootball,3,2.57,3.55,2.75,Betano,Unibet,Unibet
1379040,2025-10-15 13:56:34,apifootball,3,3.35,3.35,2.28,Betano,Unibet,Unibet
1379041,2025-10-15 13:56:35,apifootball,3,2.27,3.35,3.45,Betano,Unibet,Unibet
1379044,2025-10-15 13:56:35,apifootball,3,1.42,5.0,8.0,Betano,Unibet,Unibet
1379046,2025-10-15 13:56:36,apifootball,3,2.43,3.15,3.15,Unibet,Unibet,Betano
1390901,2025-10-15 13:56:36,apifootball,3,1.2,7.5,13.5,Betano,Unibet,Betano
1379042,2025-10-15 13:56:36,apifootball,3,5.8,4.2,1.57,Unibet,Betano,Unibet
1388362,2025-10-15 13:56:37,apifootball,3,1.35,5.8,8.0,Betano,Unibet,Betano
1390908,2025-10-15 13:56:37,apifootball,3,1.95,3.7,4.1,Betano,Unibet,Unibet
1390900,2025-10-15 13:56:38,apifootball,3,1.42,4.55,8.5,Betano,Betano,Unibet
1390903,2025-10-15 13:56:38,apifootball,3,3.55,3.2,2.2,Betano,Unibet,Betano
1379047,2025-10-15 13:56:38,apifootball,3,2.15,3.65,3.45,Betano,Unibet,Unibet
1388364,2025-10-15 13:56:39,apifootball,3,2.57,3.8,2.65,Betano,Unibet,Betano
1390902,2025-10-15 13:56:39,apifootball,3,2.15,3.35,3.55,888Sport,Unibet,Unibet
1379043,2025-10-15 13:56:40,apifootball,3,1.62,4.5,5.1,Betano,Unibet,Unibet
1388368,2025-10-15 13:56:40,apifootball,3,2.42,3.7,2.85,Betano,Unibet,Unibet
1390905,2025-10-15 13:56:40,apifootball,3,2.85,3.5,2.55,Unibet,Betano,Unibet
1390904,2025-10-15 13:56:41,apifootball,3,9.0,4.6,1.45,Unibet,Unibet,Betano
1379048,2025-10-15 13:56:41,apifootball,3,2.45,3.5,2.88,Betano,Unibet,Unibet
1390899,2025-10-15 13:56:41,apifootball,3,2.42,3.05,3.35,Betano,Unibet,Unibet
1388379,2025-10-15 13:56:42,apifootball,4,2.18,3.9,3.37,1xBet,Betfair,1xBet
1379055,2025-10-15 13:56:42,apifootball,1,2.22,3.55,3.15,Betano,Betano,Betano
1388371,2025-10-15 13:56:43,apifootball,4,3.58,3.74,2.13,1xBet,1xBet,1xBet
1388373,2025-10-15 13:56:44,apifootball,3,15.0,8.75,1.22,Bet365,1xBet,Bet365
1388375,2025-10-15 13:56:44,apifootball,4,1.8,4.16,4.75,1xBet,1xBet,Bet365
1388376,2025-10-15 13:56:45,apifootball,4,2.95,3.64,2.49,1xBet,1xBet,1xBet
1388377,2025-10-15 13:56:45,apifootball,3,1.82,4.0,4.75,1xBet,1xBet,Bet365
1379053,2025-10-15 13:56:45,apifootball,4,1.58,4.75,5.9,1xBet,Bet365,10Bet
1379057,2025-10-15 13:56:46,apifootball,4,1.72,4.04,5.32,1xBet,1xBet,1xBet
1379056,2025-10-15 13:56:46,apifootball,4,2.16,3.68,3.58,1xBet,1xBet,1xBet
1388374,2025-10-15 13:56:47,apifootball,4,1.55,4.84,6.5,1xBet,1xBet,Bet365
1379052,2025-10-15 13:56:48,apifootball,4,5.16,4.96,1.61,1xBet,1xBet,1xBet
1388372,2025-10-15 13:56:50,apifootball,4,1.71,4.3,5.25,1xBet,1xBet,Bet365
