fixture_id,date,odds_source,fetched_at_utc,home,away,home_norm,away_norm,bookmaker_count,odds_h,odds_d,odds_a,src_book_h,src_book_d,src_book_a
1390900,2025-10-18 19:00:00+0000,apifootball,2025-10-18 18:35:02,Atletico Madrid,Osasuna,atletico madrid,osasuna,6,1.4,5.3,9.58,1xBet,188Bet,Pinnacle
1390903,2025-10-19 12:00:00+0000,apifootball,2025-10-18 18:35:03,Elche,Athletic Club,elche,athletic,6,3.62,3.32,2.28,1xBet,1xBet,1xBet
1379047,2025-10-19 13:00:00+0000,apifootball,2025-10-18 18:35:04,Tottenham,Aston Villa,tottenham,aston villa,6,2.16,3.7,3.6,1xBet,188Bet,Bet365
1388364,2025-10-19 13:30:00+0000,apifootball,2025-10-18 18:35:04,SC Freiburg,Eintracht Frankfurt,freiburg,eintracht frankfurt,6,2.58,3.9,2.7,1xBet,1xBet,Bet365
1390902,2025-10-19 14:15:00+0000,apifootball,2025-10-18 18:35:05,Celta Vigo,Real Sociedad,celta vigo,real sociedad,6,2.21,3.49,3.65,1xBet,1xBet,Pinnacle
1379043,2025-10-19 15:30:00+0000,apifootball,2025-10-18 18:35:06,Liverpool,Manchester United,liverpool,manchester united,6,1.65,4.74,5.3,1xBet,1xBet,Pinnacle
1388368,2025-10-19 15:30:00+0000,apifootball,2025-10-18 18:35:06,FC St. Pauli,1899 Hoffenheim,st pauli,1899 hoffenheim,6,2.55,3.64,2.87,Bet365,1xBet,1xBet
1390905,2025-10-19 16:30:00+0000,apifootball,2025-10-18 18:35:07,Levante,Rayo Vallecano,levante,rayo vallecano,6,2.88,3.52,2.6,Bet365,1xBet,1xBet
1390904,2025-10-19 19:00:00+0000,apifootball,2025-10-18 18:35:08,Getafe,Real Madrid,getafe,real madrid,6,8.0,4.73,1.49,Bet365,Pinnacle,1xBet
1379048,2025-10-20 19:00:00+0000,apifootball,2025-10-18 18:35:08,West Ham,Brentford,west ham,brentford,6,2.57,3.59,2.9,Pinnacle,1xBet,188Bet
1390899,2025-10-20 19:00:00+0000,apifootball,2025-10-18 18:35:09,Alaves,Valencia,alaves,valencia,6,2.37,3.2,3.75,1xBet,1xBet,188Bet
1388379,2025-10-24 18:30:00+0000,apifootball,2025-10-18 18:35:10,Werder Bremen,Union Berlin,werder bremen,union berlin,6,2.13,3.85,3.7,1xBet,188Bet,Bet365
1379055,2025-10-24 19:00:00+0000,apifootball,2025-10-18 18:35:11,Leeds,West Ham,leeds,west ham,6,2.1,3.71,3.71,1xBet,1xBet,1xBet
1390917,2025-10-24 19:00:00+0000,apifootball,2025-10-18 18:35:11,Real Sociedad,Sevilla,real sociedad,sevilla,6,2.06,3.52,4.06,1xBet,1xBet,1xBet
1390912,2025-10-25 12:00:00+0000,apifootball,2025-10-18 18:35:12,Girona,Oviedo,girona,oviedo,6,1.92,3.6,4.69,188Bet,188Bet,1xBet
1388371,2025-10-25 13:30:00+0000,apifootball,2025-10-18 18:35:12,FC Augsburg,RB Leipzig,augsburg,rb leipzig,6,3.52,4.23,2.02,1xBet,1xBet,1xBet
1388373,2025-10-25 13:30:00+0000,apifootball,2025-10-18 18:35:13,Borussia Mönchengladbach,Bayern München,borussia mönchengladbach,bayern münchen,6,9.6,6.9,1.31,1xBet,188Bet,1xBet
1388375,2025-10-25 13:30:00+0000,apifootball,2025-10-18 18:35:14,Eintracht Frankfurt,FC St. Pauli,eintracht frankfurt,st pauli,6,1.82,4.23,4.33,1xBet,1xBet,1xBet
1388376,2025-10-25 13:30:00+0000,apifootball,2025-10-18 18:35:14,Hamburger SV,VfL Wolfsburg,hamburger sv,vfl wolfsburg,6,2.58,3.85,2.78,1xBet,188Bet,1xBet
1388377,2025-10-25 13:30:00+0000,apifootball,2025-10-18 18:35:15,1899 Hoffenheim,1. FC Heidenheim,1899 hoffenheim,1 heidenheim,6,1.68,4.45,5.1,1xBet,188Bet,188Bet
1379053,2025-10-25 14:00:00+0000,apifootball,2025-10-18 18:35:16,Chelsea,Sunderland,chelsea,sunderland,6,1.47,4.9,7.65,1xBet,188Bet,1xBet
1379057,2025-10-25 14:00:00+0000,apifootball,2025-10-18 18:35:16,Newcastle,Fulham,newcastle,fulham,6,1.67,4.24,5.51,1xBet,1xBet,1xBet
1390911,2025-10-25 14:15:00+0000,apifootball,2025-10-18 18:35:17,Espanyol,Elche,espanyol,elche,6,2.13,3.47,3.9,1xBet,1xBet,Bet365
1379056,2025-10-25 16:30:00+0000,apifootball,2025-10-18 18:35:18,Manchester United,Brighton,manchester united,brighton,6,2.09,4.0,3.47,1xBet,188Bet,1xBet
1388374,2025-10-25 16:30:00+0000,apifootball,2025-10-18 18:35:18,Borussia Dortmund,1.FC Köln,borussia dortmund,1 köln,6,1.61,4.8,5.5,1xBet,188Bet,Bet365
1390909,2025-10-25 16:30:00+0000,apifootball,2025-10-18 18:35:19,Athletic Club,Getafe,athletic,getafe,6,1.76,3.62,6.0,1xBet,Pinnacle,Bet365
